distance,clock,feature_type,depth_2022,length,width,survey_year,depth_2015,depth_2007,ai_verdict,ai_reason
44872.89,08:05:00,Metal Loss,79.0,1.8,1.6,2022,83.0,,REJECT,Physical impossibility (Depth decreased). Data mismatch.
44873.953,08:00:00,Metal Loss,69.0,1.2,2.0,2022,11.0,,EXTREME,Severe corrosion growth (>30%) over 7 years.
43846.421,06:29:00,Metal Loss,65.0,2.3,3.9,2022,,,NEW,Anomaly not detected in 2015. High growth or new initiation.
41797.963,09:24:00,Metal Loss,64.0,36.9,20.5,2022,,,NEW,Anomaly not detected in 2015. High growth or new initiation.
33556.555,03:49:00,Metal Loss,63.0,18.1,9.7,2022,,,NEW,Anomaly not detected in 2015. High growth or new initiation.
29320.279,03:38:00,Metal Loss,61.0,1.7,1.9,2022,,,NEW,Anomaly not detected in 2015. High growth or new initiation.
40827.356,08:09:00,Metal Loss,60.0,0.9,1.5,2022,,,NEW,Anomaly not detected in 2015. High growth or new initiation.
44870.978,07:54:00,Metal Loss,60.0,1.7,2.8,2022,,,NEW,Anomaly not detected in 2015. High growth or new initiation.
50387.74,09:11:00,Metal Loss,60.0,28.8,7.2,2022,,,NEW,Anomaly not detected in 2015. High growth or new initiation.
29539.685,07:22:00,Metal Loss,59.0,1.1,2.0,2022,,,NEW,Anomaly not detected in 2015. High growth or new initiation.
